dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_jeanlucmlenchon,dummy_nikosaliagas,dummy_politicalfigures,dummy_soccer,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,followers_count,impression_count
0,0,0,0,0,0,0,0,1,116,0,92244,1384
0,0,0,0,1,0,0,0,1,206,0,92244,4547
0,0,0,0,0,0,0,0,1,291,0,92244,34091
1,0,0,0,0,0,0,0,1,108,0,92244,1727
1,0,0,0,0,0,0,0,1,248,0,92244,1539
1,0,0,0,0,0,0,0,1,231,0,92244,4244
0,0,0,0,1,0,0,0,1,299,0,92244,9396
0,0,0,0,1,0,0,0,1,186,0,92244,13750
0,1,0,0,0,0,0,0,0,301,3,92244,4382
0,0,0,0,1,0,0,0,1,232,0,92244,3580
0,0,0,0,0,0,0,0,1,66,0,92244,3027
0,1,0,0,0,0,0,0,1,52,0,92244,1500
0,0,0,0,0,0,0,0,1,297,0,92244,1743
1,1,0,0,0,0,0,0,1,62,0,92244,21365
0,1,0,0,0,0,0,0,1,56,0,92244,2585
0,0,0,0,0,0,0,0,1,303,0,92244,4099
0,0,0,0,0,0,0,0,1,304,0,92244,10145
0,0,0,0,1,0,0,0,1,32,0,92244,1833
0,0,0,0,1,0,0,0,1,219,0,92244,55116
0,0,0,0,1,0,0,0,1,325,1,92244,1887
0,1,0,0,0,0,0,0,1,41,0,92244,1833
0,0,0,0,1,0,0,2,1,297,0,92244,7698
0,1,0,0,0,0,0,1,1,260,0,92244,3026
0,0,0,0,0,0,0,0,0,226,1,92244,6687
0,0,0,0,1,0,0,2,1,297,0,92244,3086
0,0,0,0,1,0,0,0,1,174,0,92244,2049
0,0,0,0,1,0,0,2,0,267,0,92244,2473
0,0,0,0,1,0,0,0,1,292,0,92244,14372
0,0,0,0,0,0,1,1,1,170,0,92244,2820
0,0,0,0,1,0,1,0,1,302,0,92244,3087
0,0,0,0,1,0,0,3,0,278,0,92244,10668
0,0,0,0,1,0,0,0,1,324,2,92244,1550
0,1,0,0,0,0,0,1,0,43,0,92244,569
0,0,0,0,1,0,0,1,0,172,0,92244,273
0,0,0,0,0,0,0,0,1,241,0,92244,5853
0,0,0,0,0,0,0,0,1,300,0,92244,4684
0,0,0,0,1,0,0,2,0,236,0,92244,388
0,0,0,0,0,0,1,0,1,308,0,92244,5203
0,0,0,0,1,0,0,0,1,303,0,92244,7641
0,0,0,0,0,0,2,0,0,212,1,92244,9977
1,0,0,0,0,0,3,3,0,303,1,92244,2113
0,0,0,0,1,0,0,0,1,45,0,92244,1942
0,0,0,0,1,0,0,0,1,304,0,92244,14191
0,0,0,0,0,0,1,0,1,328,1,92244,2856
0,0,0,0,1,0,0,0,1,146,0,92244,2210
0,1,0,0,0,0,0,0,0,113,1,92244,7493
0,0,0,0,0,0,0,1,0,186,0,92244,1147
1,0,0,0,0,0,0,0,1,202,0,92244,4350
1,0,0,0,0,0,0,0,1,218,0,92244,6910
0,0,0,1,0,0,0,0,1,294,0,92244,3253
0,0,0,0,0,0,0,0,0,302,1,92244,31830
1,0,0,0,0,0,0,0,0,237,1,92244,12900
1,0,0,0,0,0,0,3,0,84,0,92244,1304
0,0,0,1,0,0,0,0,1,301,0,92244,3281
0,0,0,0,0,0,0,0,1,33,0,92244,3398
1,0,0,0,0,0,0,0,1,162,0,92244,6279
0,1,0,0,0,0,0,0,1,48,0,92244,2838
1,0,0,0,0,0,0,0,1,228,0,92244,4403
0,0,0,0,1,0,0,0,1,53,0,92244,4234
0,1,0,0,0,0,0,1,0,97,1,92244,249
0,0,0,1,0,0,2,0,1,279,0,92244,1473
1,0,0,0,0,0,0,3,0,223,0,92244,183
0,0,0,0,0,0,1,0,1,298,0,92244,2473
0,0,0,1,0,0,0,0,1,270,0,92244,3360
1,0,0,0,0,0,0,0,1,288,0,92244,3147
0,0,0,1,0,0,2,0,0,300,2,92244,11844
0,0,0,0,1,0,0,0,1,33,0,92244,3047
1,0,0,0,0,0,1,1,1,184,1,92244,22874
1,0,0,0,0,0,1,1,1,280,0,92244,2484
1,0,0,0,0,0,0,0,1,64,0,92244,3967
0,0,0,0,0,0,0,0,1,31,0,92244,1941
0,0,0,0,0,0,0,0,1,116,0,92244,1386
0,0,0,0,1,0,0,0,1,206,0,92244,4547
0,0,0,0,0,0,0,0,1,291,0,92244,34091
1,0,0,0,0,0,0,0,1,108,0,92244,1728
1,0,0,0,0,0,0,0,1,248,0,92244,1540
1,0,0,0,0,0,0,0,1,231,0,92244,4245
0,0,0,0,1,0,0,0,1,299,0,92244,9396
0,0,0,0,1,0,0,0,1,186,0,92244,13750
0,1,0,0,0,0,0,0,0,301,3,92244,4382
0,0,0,0,1,0,0,0,1,232,0,92244,3580
0,0,0,0,0,0,0,0,1,66,0,92244,3027
