dummy_celebrities,dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_francepolitics,dummy_jeanlucmlenchon,dummy_ligue1,dummy_nikosaliagas,dummy_politicalfigures,dummy_politics,dummy_soccer,dummy_sports,dummy_sportsfitnessbusiness,dummy_staderennaisfc,dummy_tvhosts,dummy_tvstars,hashtags_count,impression_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_period,tweet_sentiment,tweet_text,followers_count
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,140,0,14,0.0,"RT @AilesLivre: Hello Twitter
Lecture en cours CHANGER L'EAU DES FLEURS de @valerieperrin_

Des avis ?

#changerleaudesfleurs https://t.co/…",1601
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139,0,14,0.0,"RT @30millionsdamis: Abandonné par son maître, un chien laissé “au moins un mois” dans le noir, sans eau ni nourriture a été retrouvé mort…",1601
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,1,16,0.6369,RT @nicolasirkis: Merci a vous 🙌🏻🖤❤️⭐️✊✊✊✌️✌️✌️ https://t.co/uxJDgHY5pm,1601
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,0,6,-0.4003,"RT @Essentiel_Labro: C'est la rentrée 2023 de L'Essentiel dimanche soir 🔥!
Un invité d'honneur: Claude Lelouch
La romancière Valérie Perrin…",1601
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,140,0,6,0.0,"RT @brigitte_bardot: Déjà ridiculisé par ses ""amis"" les chasseurs qui tirent les ficelles, @EmmanuelMacron s'obstine à être leur simple val…",1601
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,140,0,16,-0.4939,"RT @hugoclement: Ce monsieur se comporte comme un mafieux, brandissant la menace de guerre civile pour empêcher toute régulation de son act…",1601
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,39,0,5,0.0,@p_ameline Les deux… fromage et dessert,92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1384,0,1,116,0,2,0.0,"L’honneur de vouloir servir, c’est beau ; l’humilité face aux aboyeurs, c’est rafraîchissant https://t.co/u6c3CcEuKr",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4547,0,1,206,0,2,0.0,"Comme la vie serait plus grande et belle si on renonçait à l’espoir politique. Alors on réparerait soi-même la vie, en adulte puissant, au lieu d’être châtré par le bulletin de vote. https://t.co/e52Rrntpyt",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34091,0,1,291,0,11,0.0,"Un seul n’est pas un Étatiste momifié dans les réflexes jacobins, serviteur de la bureaucratie parisienne, un seul pense hors de ce cadre calcifié, tragiquement colbertiste, qui se méfie de l’intelligence du pays, un seul pense hors cadre, un seul a confiance en vous https://t.co/qtNCsc3uQ9",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,1,108,0,5,0.3182,Le talent du spectateur - en tout - est de savoir voir la beauté la ou elle se cache https://t.co/4lHWscKqgN,92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,0,1,248,0,4,0.0,"Apprenez à vos enfants à s’en servir, l’art de poser les grandes questions qui ouvrent des perspectives, des opportunités. L’IA vaut la qualité de nos questions inventives. L’IA exige encore plus de créativité de notre part. https://t.co/LWszIMKnvE",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4244,0,1,231,0,4,0.0,"Le premier métier d’un chef de l’Etat devrait être de nous expliquer sa stratégie pour arrêter cette défonce de notre niveau de vie, l’inflation. Hallucinant que ce ne soit pas la question centrale de l’actu https://t.co/QvrnPSEP1i",92244
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9396,0,1,299,0,2,0.4404,"Quand le patron croit en Carlito, ça donne ça . Ce n’est pas  un problème de communication mais de fond, comme si il y avait une véritable difficulté à être une source de pouvoir, à être la France. Le drame c’est qu’on retrouve cela dans une grande partie oppositions agitées https://t.co/0WbvP3VYTF",92244
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13750,0,1,186,0,14,0.0,"Épuisant… Pif, Carlito, Playboy… Imaginez qu’un jour le sens du sacré reparaisse, de l’incroyable hauteur de notre pays. C’est un tel honneur d’agrandir la France https://t.co/PpnVTsYsEc",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4382,0,0,301,3,3,-0.2003,"LA DÉCHIRURE - En 2 mois les ventes de sandwichs ont ↗️ de 30% (les triangles de supermarché pas les bons des boulangeries), ↗️de la chourave en magasin alimentaire, ↗️ du « prépaiement en caisse »dans les stations essence… et le Pdt part en Chine lundi ! Tout ça dit la suite. https://t.co/u69YLcnMqK",92244
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3580,0,1,232,0,14,0.0,Imaginez que quelqu’un débarque dans le métro et déclare cela haut et fort… Imaginez les tronches déconcertées. Pourquoi parler dans un français si peu compréhensible hors du bocal administratif ? Ahurissant… https://t.co/Qhrm9JOu62,92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3027,0,1,66,0,13,-0.128,L’excès de beauté me convient tout à fait… https://t.co/yOHRg10kpL,92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,1,52,0,17,0.0,La beauté a une nationalité… https://t.co/Xq0NXSfa5V,92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1743,0,1,297,0,10,-0.4215,"Une « équation impossible » ça veut dire une vie a bout de tout pour beaucoup - du fait en bonne part de nos choix énergétiques dingos ; c’est ça le vrai sujet central, évité par la Fr qui dort bien, qui allume les colères sans issue dont les chacals pol. espèrent profiter https://t.co/kO9tVX12A1",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,140,0,9,0.0,RT @JardinHugo: NUIT VACILLANTE est dans la playlist @TETUmag du week-end ! Entre la grande Mylène Farmer et mon idole Björk ! Déflagration…,92244
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21365,0,1,62,0,20,0.0,Ce n’est plus un problème de retraite… https://t.co/BN3Z284VOF,92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,20,0.0,RT @sophiemouysset: Ce n’est plus une histoire de retraites…,92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2585,0,1,56,0,4,0.0,On ne sait jamais où on sera lu… https://t.co/3rQrXQHVs7,92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,140,0,14,-0.4588,"RT @AlexandreJardin: En l’écoutant je pensais qu’il y a deux manières de faire de la politique : dire « moi je», se croire possédé par l’In…",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4099,0,1,303,0,5,0.0,Article puissant : « L'opposition massive à la réforme des retraites exprime un rejet contre ce qui est perçu par une majorité  comme la régression de trop; (…)elle constitue un acte de résistance contre la réduction du politique à une technique d'ajustement à la globalisation » https://t.co/CCLARxruXl,92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10145,0,1,304,0,8,0.4404,"En l’écoutant je pensais qu’il y a deux manières de faire de la politique : dire « moi je», se croire possédé par l’Intelligence de tout, et croire mordicus en l’intelligence des autres. La vraie grandeur est de rendre les autres grands. Un grand Président rend ses provinces gdes https://t.co/IRj6kC7e7L",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1833,0,1,32,0,5,0.0,On y est https://t.co/25R3sXElJt,92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,55116,0,1,219,0,19,0.0,"Quelle immaturité folle … Sait-il que l’honneur d’un président est d’unir ? Et d’agrandir tous les citoyens, même ses adversaires. Rabaisser la nation est le début de la perte de toute légitimité https://t.co/NfpPzwPkCW",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1887,0,1,325,1,14,0.4588,"TRAGÉDIE. Au lieu de prendre au sérieux nos provinces&amp;communes, E.M reste lui. L’égaré consulte le bocal à Paris et tente  de réchauffer la diversion/manip du Grand Débat en version en ligne. On aura une crise de régime. Les Asso de maires seront le recours du pays bloqué. https://t.co/AynMopXgo3 https://t.co/mDPJ8i5v75",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1833,0,1,41,0,6,0.0,Mon Dieu… si ému… https://t.co/IcFrrpRlWl,92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,140,0,5,0.0,"RT @AlexandreJardin: Si @EmmanuelMacron ne propose pas une co gestion stratégique de sortie de crise (sociale, éco, pol. migratoire, etc) e…",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,26,3,0,49,0,5,0.0,@DllErik @EmmanuelMacron @Maires_Ruraux Vu aussi…,92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,59,3,0,141,0,4,0.0,"@CdricLabrousse @EmmanuelMacron @Maires_Ruraux Ce sont de vrais débats dignes… région, bassin de vie (province), commune au plus près du réel",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,56,3,0,160,0,4,0.0,"@DllErik @EmmanuelMacron @Maires_Ruraux Si Louis XVI avait pris le parti du Tiers Etat, il nous aurait évité 93… le Tiers État aujourd’hui ce sont nos provinces",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7698,2,1,297,0,4,-0.128,"Si @EmmanuelMacron ne propose pas une co gestion stratégique de sortie de crise (sociale, éco, pol. migratoire, etc) et une co réforme du centralisme bureaucratique aux asso. d’élus locaux, dans l’ordre, tout se fera contre lui dans le désordre. Fini de rire @Maires_Ruraux https://t.co/cWtqmAUXYU",92244
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3026,1,1,260,0,3,0.0,"Sortie aujourd’hui de « nuit vacillante » , clip&amp;single beaudelairesque magistral du plus poète et punk des Jardin, @JardinHugo , prince de la pop alternative ! Mon Dieu comme son intensité d’étoile me bouleverse ! Larmes d’émotion.
https://t.co/ebHOGFAA7q",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6687,0,0,226,1,13,0.0,"9 voix… La politique, est-ce de l’arithmétique ? NON. La démocratie, est-ce de l’arithmétique ? OUI. 
Sommes-nous un peuple de culture démocratique ou de culture politique ? Qu’avons-nous envie d’être ? https://t.co/NVYvak5WA9",92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,258,0,3,0.4588,"@MaryCherby Hélas… j’ai du être un des rares à publier un grand papier dans @LePoint pour refuser la stratégie Chinoise d’enfermement face à Covid, à être fidèle aux pays de culture démocratique comme la Suisse et la Suède qui n’ont pas négocié leurs valeurs",92244
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3086,2,1,297,0,2,0.3818,Tout ce qu’écrit @xjfontanet appuie sur un point juste qui fait mal - à traiter sans détourner le regard car le réel ne pardonne pas. Pourquoi ces stratèges d’exception ne gouvernent-ils pas ? À un moment il faudra bien utiliser la vraie intelligence stratège @davidlisnard https://t.co/T4ElBze9UF,92244
